fecha_publicacion,titulo,contenido,ubicación,requisito_1,requisito_2,requisito_3,requisito_4,fecha_limite_aplicar,URL,imagen,es_evento_calendario
15 de septiembre,Feature Friday,¿Estudias en un área STEM y quieres darle visibilidad a tu proyecto? Participa y comparte tu historia.,Tecnológico de Monterrey,Estudiantes mujeres en carreras STEM,Presentar un proyecto o logro propio,-,-,30 de septiembre,https://docs.google.com/forms/d/e/1FAIpQLSce8QPscrRc0huGnLQ5z9UVTUftjVC_ETnJjpHWIJ7u10Vl8w/viewform?usp=preview,FeatureFriday.svg,FALSE
20 de septiembre,Summer Bazar,Participa y registra tu emprendimiento en nuestro Summer Bazar 2026 con Women for the Future.,"Tecnológico de Monterrey, campus Guadalajara",No giros de Comida,-,-,-,25 de septiembre,https://docs.google.com/forms/d/e/1FAIpQLSce8QPscrRc0huGnLQ5z9UVTUftjVC_ETnJjpHWIJ7u10Vl8w/viewform?usp=preview,InvitacionBazar.svg,TRUE
